               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.072077,             0.07949,            0.034342,             0.91058,             0.12704,             0.18316,            0.078073,            0.058507,             0.07342,            0.026819,            0.070034,           0.0033295,           0.0033295
                   1,            0.057072,            0.068019,            0.022916,             0.43963,             0.31716,             0.23016,             0.11008,             0.05588,            0.064854,            0.021112,             0.03999,           0.0066189,           0.0066189
                   2,            0.054813,            0.069043,            0.019977,              0.4769,             0.29056,             0.21732,             0.10323,             0.05192,            0.068443,            0.021578,           0.0099023,           0.0098642,           0.0098642
                   3,            0.051961,            0.070006,            0.018536,              0.4951,             0.27529,             0.23356,             0.12229,            0.048588,            0.068033,            0.020445,            0.009802,            0.009802,            0.009802
                   4,            0.049277,            0.066981,            0.017053,             0.46957,             0.35999,             0.29753,             0.14763,            0.046756,            0.069055,            0.019281,            0.009802,            0.009802,            0.009802
                   5,            0.047176,            0.066226,            0.015775,             0.50132,             0.33222,             0.32907,             0.16415,            0.045279,             0.06795,            0.019521,            0.009736,            0.009736,            0.009736
                   6,            0.046194,            0.067579,            0.015059,             0.39257,             0.47995,             0.39519,             0.20315,            0.043397,            0.066593,            0.017153,             0.00967,             0.00967,             0.00967
                   7,            0.045128,            0.068592,            0.014198,             0.55848,              0.3809,             0.38441,             0.20491,            0.044944,            0.068464,            0.018015,            0.009604,            0.009604,            0.009604
                   8,            0.044451,            0.064707,            0.013603,             0.47498,             0.51037,             0.43502,             0.23112,            0.042607,            0.064172,            0.015734,            0.009538,            0.009538,            0.009538
                   9,            0.043777,            0.065705,            0.013018,              0.5252,             0.43158,             0.41033,             0.20876,            0.043439,            0.064043,            0.016371,            0.009472,            0.009472,            0.009472
                  10,            0.042856,            0.064009,            0.012302,             0.40078,             0.56428,              0.4545,             0.22914,            0.043222,            0.062669,            0.014988,            0.009406,            0.009406,            0.009406
                  11,            0.042234,            0.063902,            0.011694,             0.49064,             0.53814,             0.49124,             0.24107,            0.040807,            0.063207,            0.014342,             0.00934,             0.00934,             0.00934
                  12,            0.041779,            0.062273,            0.011217,             0.51494,              0.5844,             0.53629,             0.28556,            0.040971,            0.061285,            0.013495,            0.009274,            0.009274,            0.009274
                  13,            0.041471,            0.062719,            0.010546,             0.63857,             0.53712,             0.58236,             0.30807,            0.040823,            0.061473,             0.01322,            0.009208,            0.009208,            0.009208
